name,num,s1,s2,s3,r1,r2,r3,t1,t2,t3,t4,t5,t6
cemiyyet,1,0.450870298,0.42926045,0.699902248,0.577464789,0.33497335,0.588124411,0.621376991,0.777143002,0.34594512,0.245573759,1.120014906,0.275044918
cemiyyet,1,0.450870298,0.60523322,0.45039019,0.545287074,0.535292423,0.522793404,0.667279959,2.169213057,0.721775055,2.56940794,2.696205139,0.900282145
cemiyyet,1,0.42926045,0.60523322,0.435337946,0.586568323,0.583164983,0.389195149,0.658429146,1.708662033,0.625872135,1.501542091,2.001249075,0.529156685
cemiyyet,1,0.699902248,0.45039019,0.435337946,0.542955326,0.50952717,0.574123989,0.250324965,0.6048491,0.618192911,0.154888153,0.434462786,0.26679492
cemiyyet,2,0.545112782,0.969942748,0.955916473,0.391733208,0.525222552,0.536172695,0.549342871,0.98105979,1.145938873,2.990457058,0.595759869,0.607228994
cemiyyet,2,0.545112782,0.539555006,0.542039356,0.563543936,0.585930543,0.546325879,0.518316031,0.520983696,0.544687986,0.390009165,0.289731979,0.177086115
cemiyyet,2,0.969942748,0.539555006,0.954983923,0.582694908,0.252710027,0.491336634,0.960258961,0.537538052,1.024395943,1.125854015,5.980592966,0.529030085
cemiyyet,2,0.955916473,0.542039356,0.954983923,0.481343284,0.586479368,0.392354125,1.018550634,0.530379057,1.02582407,2.369548082,1.146473885,0.352839947
cemiyyet,3,0.629981025,0.624990323,0.994722753,0.413970671,0.358763133,0.137387387,36.30638599,37.51223516,38.06395912,13.78285909,10.57984209,3.079890251
cemiyyet,3,0.629981025,0.627465186,0.625228519,0.16329588,0.339632546,0.131498471,36.19094396,35.85275602,37.52270722,3.827522993,9.640754223,3.221410036
cemiyyet,3,0.624990323,0.627465186,0.625992218,0.491297966,0.246723416,0.183898305,43.6637392,47.79863667,45.51072979,18.75019979,6.261658192,4.47855711
cemiyyet,3,0.994722753,0.625228519,0.625992218,0.417023675,0.106660862,0.152198422,46.32818294,40.51431513,38.92428517,17.52912903,3.883198261,6.891575098
cemiyyet,4,0.949956102,0.598707825,0.623994404,0.579887218,0.488068182,0.486775464,1.895648003,1.74558115,1.915373087,1.02091074,0.620871067,0.624737978
cemiyyet,4,0.949956102,0.598897059,0.579663444,0.443666454,0.475081097,0.477737665,1.359214067,2.063075066,2.131947994,0.438462257,2.530628204,0.557389975
