name,num,s1,s2,s3,r1,r2,r3,t1,t2,t3,t4,t5,t6
cemiyyet,12,1,0.94,0.95,0.24,0.42,0.46,0.000311136,0.000323057,0.000427961,0.004718065,0.002024889,0.000914812
cemiyyet,12,0.97,0.91,0.95,0.43,0.43,0.35,0.000381947,0.000378132,0.000438213,0.00089407,0.0020082,0.000617981
cemiyyet,13,1,0.86,1,0.45,0.49,0.45,0.000477076,0.000576019,0.000510931,0.002128124,0.001347065,0.001478195
cemiyyet,13,1,0.86,1,0.46,0.48,0.39,0.000438929,0.000571966,0.000452995,0.002168179,0.002267122,0.000884056
cemiyyet,13,0.86,0.86,0.88,0.37,0.36,0.44,0.000589132,0.000573874,0.000570774,0.004486084,0.000783205,0.001340866
cemiyyet,13,1,1,0.88,0.44,0.33,0.46,0.000472784,0.00045228,0.000562906,0.001636028,0.000803947,0.001231909
cemiyyet,14,0.99,0.49,0.82,0.5,0.3,0.31,0.000751972,0.001389265,0.001143694,0.004318953,0.001065016,0.001214027
cemiyyet,14,0.99,0.49,0.82,0.51,0.45,0.4,0.000795841,0.001681805,0.001029968,0.004703045,0.001739025,0.001944065
cemiyyet,14,0.49,0.49,0.49,0.2,0.39,0.39,0.001441002,0.001412153,0.00150013,0.004742861,0.001791954,0.000820875
cemiyyet,14,0.82,0.82,0.49,0.48,0.46,0.34,0.00116992,0.00103116,0.001443148,0.00227499,0.001549959,0.001216888
cemiyyet,15,0.9,0.87,0.88,0.48,0.42,0.44,0.000513792,0.000423193,0.000556946,0.00099206,0.002024889,0.000989914
cemiyyet,15,0.9,0.97,0.99,0.44,0.32,0.41,0.000456095,0.000464916,0.000554085,0.001580954,0.003534079,0.00069499
cemiyyet,15,0.87,0.97,0.97,0.44,0.48,0.4,0.000673056,0.000636101,0.000622034,0.001066923,0.002082109,0.001057863
cemiyyet,15,0.88,0.99,0.97,0.47,0.51,0.45,0.000467062,0.00043869,0.000412226,0.001116991,0.001215935,0.001048088
cemiyyet,16,0.72,0.72,0.72,0.49,0.44,0.44,0.002024174,0.001701117,0.001965761,0.004242182,0.001711845,0.002532244
cemiyyet,16,0.72,1,0.99,0.44,0.34,0.4,0.001816273,0.001110077,0.000808954,0.002018213,0.001344919,0.002151012
cemiyyet,16,0.72,1,1,0.43,0.49,0.37,0.002300024,0.000823021,0.000789881,0.001974821,0.003607988,0.001658916
cemiyyet,16,0.72,0.99,1,0.52,0.47,0.26,0.001710892,0.000816107,0.000787973,0.003590107,0.00225997,0.000944138
cemiyyet,17,0.85,0.89,0.79,0.32,0.48,0.41,0.000601768,0.000498772,0.000679016,0.004748106,0.001878977,0.000913858
cemiyyet,17,0.85,0.88,0.74,0.37,0.43,0.41,0.000767946,0.000322104,0.000520945,0.001496077,0.000913858,0.000544071
cemiyyet,17,0.89,0.88,0.85,0.17,0.37,0.49,0.000509024,0.000319958,0.000429869,0.003917694,0.001554966,0.0006001
cemiyyet,17,0.79,0.74,0.85,0.44,0.37,0.38,0.000743866,0.000514269,0.000434875,0.001531124,0.002403021,0.000819206
cemiyyet,18,0.96,0.79,0.82,0.46,0.19,0.42,0.000495195,0.000922203,0.000504017,0.001415014,0.005182266,0.000948906
cemiyyet,18,0.96,0.71,0.82,0.48,0.48,0.34,0.000560999,0.001211166,0.000648975,0.002144098,0.001628876,0.00077486
