name,num,s1,s2,s3,r1,r2,r3,t1,t2,t3,t4,t5,t6
cemiyyet,12,0.86,0.82,0.81,0.73,0.69,0.71,0.002401114,0.003943205,0.003839254,0.002950907,0.002951145,0.002449274
cemiyyet,12,0.83,0.82,0.88,0.73,0.69,0.67,0.002742052,0.003396034,0.006372213,0.005991936,0.00738883,0.003506899
cemiyyet,12,0.8,0.81,0.88,0.74,0.73,0.74,0.002860069,0.003552914,0.006411076,0.007378817,0.005550146,0.007270336
cemiyyet,13,0.91,0.82,0.89,0.74,0.77,0.73,0.007147789,0.007998228,0.00768733,0.005578756,0.006842136,0.0047369
cemiyyet,13,0.91,0.82,0.89,0.64,0.67,0.77,0.007403851,0.006431103,0.006585121,0.003006935,0.007275105,0.005916119
cemiyyet,13,0.82,0.82,0.83,0.78,0.77,0.67,0.006337881,0.006403923,0.00678587,0.006857872,0.006670952,0.003959894
cemiyyet,13,0.89,0.89,0.83,0.65,0.75,0.64,0.006597996,0.006781816,0.006787062,0.00893712,0.005849838,0.002913952
cemiyyet,14,0.9,0.76,0.86,0.74,0.8,0.6,0.015685797,0.005558968,0.010748148,0.009923935,0.013464212,0.005066156
cemiyyet,14,0.9,0.77,0.87,0.79,0.66,0.61,0.015905142,0.0055089,0.01180315,0.014887094,0.006510019,0.004415989
cemiyyet,14,0.76,0.77,0.78,0.74,0.62,0.74,0.006133795,0.005733252,0.005034924,0.003354073,0.005800962,0.003633738
cemiyyet,14,0.86,0.87,0.78,0.77,0.75,0.68,0.010978937,0.010834932,0.004921198,0.011343956,0.01204896,0.005686045
cemiyyet,15,0.82,0.83,0.82,0.74,0.63,0.74,0.00520277,0.005611181,0.005306959,0.006155729,0.008043051,0.004302979
cemiyyet,15,0.82,0.88,0.9,0.7,0.67,0.67,0.005680084,0.005262136,0.005692244,0.00565505,0.006340981,0.002999067
cemiyyet,15,0.83,0.88,0.89,0.68,0.68,0.72,0.005718708,0.005449057,0.005429029,0.007264137,0.006978035,0.004310131
cemiyyet,15,0.82,0.9,0.89,0.71,0.77,0.67,0.00592494,0.005534887,0.00543499,0.005438328,0.004698038,0.003115892
cemiyyet,16,0.88,0.81,0.81,0.67,0.7,0.63,0.015274048,0.016762972,0.015918016,0.007706165,0.008700132,0.005957842
cemiyyet,16,0.88,0.85,0.92,0.75,0.76,0.61,0.015057802,0.015380859,0.018540144,0.014040232,0.010906219,0.005172014
cemiyyet,16,0.81,0.85,0.9,0.68,0.61,0.67,0.014068127,0.015735865,0.015494108,0.005843878,0.005481958,0.005589008
cemiyyet,16,0.81,0.92,0.9,0.67,0.76,0.59,0.014819145,0.015448093,0.015759945,0.017971992,0.011334181,0.004864931
cemiyyet,17,0.69,0.68,0.77,0.7,0.7,0.68,0.004854679,0.004979849,0.007965326,0.006632805,0.006249905,0.005509138
cemiyyet,17,0.69,0.83,0.72,0.73,0.74,0.67,0.004886866,0.003745079,0.004565001,0.003893137,0.003851891,0.00463891
cemiyyet,17,0.68,0.83,0.72,0.64,0.56,0.75,0.004844904,0.003697872,0.004570007,0.005243778,0.008974075,0.003329039
cemiyyet,17,0.77,0.72,0.72,0.65,0.76,0.74,0.007900953,0.004587889,0.004456997,0.003582001,0.005630016,0.005394936
cemiyyet,18,0.78,0.66,0.81,0.77,0.76,0.65,0.006699085,0.008008957,0.006039143,0.005024195,0.004351854,0.002835035
cemiyyet,18,0.78,0.8,0.86,0.75,0.69,0.73,0.006522179,0.010424137,0.00683713,0.006532907,0.004661083,0.005574942
cemiyyet,18,0.66,0.8,0.79,0.76,0.73,0.75,0.008091927,0.010914087,0.011070013,0.016420126,0.014428854,0.014410019
cemiyyet,18,0.81,0.86,0.79,0.74,0.58,0.73,0.006349087,0.006969929,0.008449078,0.006162167,0.014228106,0.005054951
cemiyyet,19,0.85,0.84,0.89,0.68,0.66,0.69,0.010113955,0.010088921,0.012490988,0.006298065,0.006258011,0.006454945
cemiyyet,19,0.85,0.9,0.85,0.72,0.65,0.68,0.010015011,0.014336109,0.015710115,0.012592793,0.012821913,0.005108833
cemiyyet,19,0.84,0.9,0.85,0.77,0.75,0.67,0.009665966,0.010043144,0.009691,0.00833416,0.007368088,0.004546881
cemiyyet,19,0.89,0.85,0.85,0.64,0.75,0.66,0.013844967,0.010913849,0.009821892,0.004750013,0.009063959,0.005455017
cemiyyet,20,0.77,0.77,0.7,0.65,0.7,0.76,0.009135008,0.008597851,0.00955987,0.003626108,0.004980087,0.00725317
cemiyyet,20,0.77,0.84,0.75,0.68,0.72,0.62,0.008908033,0.011003017,0.012806177,0.006407022,0.009046078,0.003983974
cemiyyet,20,0.77,0.84,0.75,0.66,0.62,0.59,0.008290052,0.011070967,0.011140823,0.006016016,0.003903151,0.003224134
cemiyyet,20,0.7,0.75,0.75,0.76,0.78,0.66,0.009990215,0.012236118,0.012139082,0.018637896,0.016921043,0.007593155
cemiyyet,21,0.9,0.93,0.86,0.7,0.74,0.72,0.00721097,0.007483959,0.007375956,0.004173994,0.007205248,0.004579067
cemiyyet,21,0.9,0.89,0.87,0.71,0.57,0.74,0.007218838,0.008091927,0.008466005,0.00829792,0.020642042,0.005469799
cemiyyet,21,0.93,0.89,0.86,0.79,0.69,0.59,0.00771904,0.007343769,0.007378817,0.006228924,0.007785797,0.002460241
cemiyyet,21,0.86,0.87,0.86,0.71,0.75,0.69,0.007416248,0.007992744,0.00737524,0.005828857,0.006525993,0.005459785
cemiyyet,22,0.83,0.84,0.81,0.74,0.66,0.6,0.012037992,0.011116028,0.014224768,0.007467031,0.015347004,0.00404501
cemiyyet,22,0.83,0.84,0.71,0.73,0.74,0.68,0.011824846,0.011554003,0.016325951,0.012588024,0.013309956,0.006433964
cemiyyet,22,0.84,0.84,0.71,0.68,0.67,0.63,0.011074066,0.011848927,0.013912916,0.00656724,0.005586863,0.005049944
cemiyyet,22,0.81,0.71,0.71,0.67,0.71,0.6,0.014415026,0.015182734,0.014182091,0.012038708,0.014171839,0.008146048
cemiyyet,23,0.85,0.85,0.83,0.76,0.74,0.76,0.003753901,0.003998995,0.004188061,0.004171848,0.006163836,0.004928827
cemiyyet,23,0.85,0.85,0.84,0.76,0.76,0.77,0.004201889,0.004671812,0.003447056,0.003834963,0.004266977,0.00324297
cemiyyet,23,0.85,0.85,0.88,0.75,0.6,0.75,0.003623962,0.003364086,0.003004313,0.003764868,0.005538225,0.002748966
cemiyyet,23,0.83,0.84,0.88,0.69,0.7,0.74,0.003238916,0.002945185,0.003060102,0.003076077,0.00315094,0.002330065
cemiyyet,24,0.79,0.83,0.78,0.73,0.71,0.74,0.003819942,0.003454924,0.003843784,0.004187346,0.004604816,0.00293088
cemiyyet,24,0.79,0.79,0.83,0.71,0.73,0.75,0.003739119,0.003926992,0.004688025,0.003155947,0.003741026,0.003740311
cemiyyet,24,0.83,0.79,0.86,0.64,0.75,0.73,0.003464222,0.004238844,0.004599094,0.007273912,0.003358364,0.002705812
cemiyyet,24,0.78,0.83,0.86,0.77,0.7,0.74,0.003916979,0.004560232,0.003855944,0.004154205,0.003712893,0.003788948
cemiyyet,25,0.9,0.57,0.78,0.67,0.69,0.71,0.002917051,0.007023811,0.002794981,0.00338006,0.003441095,0.002919912
cemiyyet,25,0.9,0.57,0.78,0.6,0.72,0.73,0.002909899,0.006999969,0.002741098,0.004343033,0.003072977,0.002435684
cemiyyet,25,0.57,0.57,0.58,0.59,0.65,0.53,0.007587671,0.007269144,0.007176876,0.009768963,0.01409173,0.006827831
cemiyyet,25,0.78,0.78,0.58,0.74,0.61,0.74,0.002828121,0.002645969,0.007304907,0.002710104,0.004272223,0.002876043
cemiyyet,26,0.83,0.86,0.84,0.65,0.64,0.76,0.00664711,0.006844997,0.006443977,0.008995295,0.010031223,0.006144047
cemiyyet,26,0.83,0.85,0.84,0.65,0.78,0.74,0.006966114,0.007043123,0.006467104,0.008231878,0.005249023,0.004964113
cemiyyet,26,0.86,0.85,0.84,0.76,0.72,0.66,0.00697279,0.006772041,0.006215096,0.007475138,0.004716158,0.004809141
