file,Jaro,Winkler,Levenshtein,Ratcliff_Obershelp,Fuzzy,Damerau-Levenshtein,LCSubstring,LCSubsequence
0,54.4758368,77,39.4290812,4.6267589,44,45.6585942,60.81994928,41.34419552
0,66.0911743,62,36.7357788,2.0140372,32,56.80372,51.69061708,38.19143819
0,58.5994454,57,33.0458971,2.098849,38,28.2015395,27.72612003,28.4351145
1,63.2546565,71,52.2230483,49.7546468,95,52.9665428,90.04383219,52.22304833
1,84.162305,90,99.5933688,99.5725159,100,99.7184861,99.77040284,99.59336878
1,67.4268725,71,39.4505201,5.0146706,64,52.9474527,89.93946984,39.45052014
0,74.6829614,61,37.593819,0.5124701,48,21.0323292,58.985598,14.1329259
0,54.5803808,74,13.8798856,1.3556389,37,45.1612903,50.88707994,21.52690864
0,49.2252472,59,13.5372849,0.8287813,29,19.5293682,49.82258401,19.5437399
1,63.2546565,71,52.2230483,48.7137546,95,52.9665428,97.62150982,52.22304833
1,63.2908602,71,52.034452,47.9061479,95,52.984853,97.67321613,52.03445203
1,74.266243,77,42.7494075,8.3602672,67,57.63844,92.81282316,42.74940746
0,62.0994415,72,34.9046262,1.7259234,45,43.7132353,68.66597725,29.70914992
0,70.4542796,74,37.7310062,1.2185834,44,57.4561404,44.3123061,35.02760327
0,49.069852,66,30.1181853,1.4128035,30,36.4497041,35.4705274,30.54331865
1,84.162305,90,99.5933688,99.5725159,100,99.7184861,99.85416667,99.59336878
1,63.2908602,71,52.034452,49.5990496,95,52.984853,90.125,52.03445203
1,67.587625,71,39.3765819,4.9287332,64,52.9639004,89.97916667,39.37658186
0,63.0513035,62,32.3218066,2.3489933,52,56.6613588,66.22916667,33.63403797
0,65.1552335,58,15.1936818,2.5983667,23,23.0099728,60.39583333,23.4741784
0,50.741713,56,19.4693439,1.4115092,24,19.2849203,57.54166667,11.13057015
1,67.4268725,71,39.4505201,6.6951187,64,52.9474527,88.73291467,39.45052014
1,74.266243,77,42.7494075,8.7481146,67,57.63844,85.11267085,42.74940746
1,67.587625,71,39.3765819,6.7403756,64,52.9639004,88.54820835,39.37658186
0,54.7670246,76,36.2773888,3.2583398,31,31.3464448,67.67639453,27.85815603
0,60.3279505,61,23.8823882,1.7401923,54,39.6990424,52.53047654,36.18435155
